title;artist;album;isrc;addedDate;addedBy;duration;url
"Patrick The Spoiler";"Throwing Toasters";Dork;ushm80635196;"2019-08-19 01:12";randomparity;136s;https://open.spotify.com/track/7vlx6UgZyyrdUbEFk5TLSu
"Bad Influence";"Throwing Toasters";Dork;ushm80635194;"2019-08-19 01:12";randomparity;130s;https://open.spotify.com/track/17ohdUDgQT0BZMv36pxrTm
"Really Safe Sex";"Tim Cavanagh";"Sounds Like Fun!";ushm81346282;"2019-08-19 01:10";randomparity;101s;https://open.spotify.com/track/2DoDXtgC257MJJfgvGtJaB
"Get Drunk With Dignity";"Tim Cavanagh";"Sounds Like Fun!";ushm81346297;"2019-08-19 01:11";randomparity;206s;https://open.spotify.com/track/73NZSlgKI8oSebqyXpjdU0
"In 1492 Columbus Sailed the Ocean Blues";"Tim Cavanagh";"Sounds Like Fun!";ushm81346287;"2019-08-19 01:11";randomparity;133s;https://open.spotify.com/track/5uA63zeUnMYqJ8UyV44H7F
"That's Mathematics";"Tom Lehrer";"The Rest Of Tom Lehrer";USSE91031711;"2019-08-19 01:11";randomparity;93s;https://open.spotify.com/track/6pLEjKewdHJhkUTRXjeDeH
"Talk Like A Pirate Day";"Tom Smith";"And They Say I've Got Talent";ushm90478280;"2019-08-19 01:11";randomparity;336s;https://open.spotify.com/track/3I23xF1sHuZpswbSDI5xoT
"First House";"Tom Tuerff";"Something To Sell At My Gigs";uscgh0552937;"2019-08-19 01:12";randomparity;172s;https://open.spotify.com/track/6hVVs3WQx5AXccHFpm7oF6
"Sirius Black";"Tony Goldmark";"Rage Against The Mundane";ushm20469256;"2019-08-19 01:11";randomparity;268s;https://open.spotify.com/track/62YIL0rdBHnBYQtmVBK1Xt
"Teeth Clenched";"Tony Goldmark";"Rage Against The Mundane";ushm20469252;"2019-08-19 01:12";randomparity;281s;https://open.spotify.com/track/7KxN2YccMfVS85frvMSRTE
"The Sorcerer's Stone";"Tony Goldmark";"Rage Against The Mundane";ushm20469254;"2019-08-19 01:12";randomparity;212s;https://open.spotify.com/track/4viogu5es6lz20Rm2Ka87v
"Nashville Drive-By";"Travis Shredd and the Good Ol' Homeboys";"Nashville Drive-By";USJHR0710001;"2019-08-19 01:10";randomparity;189s;https://open.spotify.com/track/3G4B4zmuxRHoe9nxKg1DxD
"The Starbucks of County Down";Trifolkal;"Tao From The Mountain";uscgj0583190;"2019-08-19 01:12";randomparity;154s;https://open.spotify.com/track/7A8ogMkzZQL1hF7ry5yZpG
"When I Was a Dinosaur";"Trout Fishing in America";"Big Trouble";USA370341231;"2019-08-19 01:11";randomparity;166s;https://open.spotify.com/track/2GUUo73i6NoXRFSjqsfFoQ
"Aliens Really Stink";"UFO Phil";"Remembering the Future";USDHM1722888;"2019-08-19 01:13";randomparity;162s;https://open.spotify.com/track/2ZqK6akHE1qkdoHUrrJgAL
"Cheerleaders On Drugs";"Uncle Bonsai";"The Inessential Uncle Bonsai";USN830800217;"2019-08-19 01:11";randomparity;178s;https://open.spotify.com/track/7uOfIITrsPZhejdFlxeW6A
"Banana Oil";"Vaughn de Leath";"The Naughty 1920s: Red Hot & Risque Songs of the Jazz Age, Vol. 2";USM2U0804407;"2019-08-19 01:12";randomparity;179s;https://open.spotify.com/track/2zoI8LwyC3op1jn0WlSOOJ
"Two for One Coupon";"Wally Pleasant";Hoedown;uscgj1530716;"2019-08-19 01:10";randomparity;173s;https://open.spotify.com/track/5lLYkAR70EJ8r5yEGxpASP
"Stupid Day Job";"Wally Pleasant";"Houses of the Holy Moly";ushm81202319;"2019-08-19 01:11";randomparity;244s;https://open.spotify.com/track/6397fUYMLV0lw0W4iPLjeo
"Bad Haircut";"Wally Pleasant";"Songs About Stuff";uscgh1146118;"2019-08-19 01:11";randomparity;129s;https://open.spotify.com/track/3y2XUgzOxhKEh4xo1lTk4j
"I'm Gonna Keep My Hair Parted";"Washboard Sam";"Washboard Sam Vol. 3 (1938)";USA560530780;"2019-08-19 01:10";randomparity;160s;https://open.spotify.com/track/52hGmWhbiWP0eYbCea9aHG
"Bald Guys";"Wayne Faust";"Kid With A Guitar";uscgj0528892;"2019-08-19 01:11";randomparity;186s;https://open.spotify.com/track/4EIBc1nPf1BNXdb49qsqcD
"Great Idea For A Song";"Worm Quartet";"Faster Than A Speeding Mullet";uscgh0826822;"2019-08-19 01:11";randomparity;207s;https://open.spotify.com/track/6FVyV9KIJnYZldVcYVVStq
"Frank's Not In The Band Anymore";"Worm Quartet";"Stupid Video Game Music";uscgj0972618;"2019-08-19 01:12";randomparity;219s;https://open.spotify.com/track/64u34h9VSSWDNK27Xz5oAx
