title,artist,album,isrc,platform,duration,addedDate,addedBy,url
Drag,"Day Wave",Drag,TCACF1563925,spotify,190s,"2022-06-19 17:32",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0oXwUeFAE6IR2lYhaTpxRT
"Driving South","Goth Babe, Blood Cultures","Santa Catalina",TCAGB2214961,spotify,235s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1Mp50vmIphq9ui2UUJoX3m
"Easy On Your Own?",Alvvays,"Easy On Your Own?",US3R42246502,spotify,175s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2ZmQI8hVG0wGsvBAvSPx47
"Electric Feel",MGMT,"Oracular Spectacular",USSM10702131,spotify,230s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) [from the series Arcane League of Legends]",USUM72119916,spotify,173s,"2021-11-09 02:02",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
"Everybody Talks","Neon Trees","Picture Show",USUM71119189,spotify,177s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
"Everything Now","Arcade Fire","Everything Now",GBARL1700812,spotify,303s,"2022-03-10 20:53",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7KsZHCfOitA5V9oQYVdltG
Exits,Foals,"Everything Not Saved Will Be Lost Pt. 1",GBAHT1800684,spotify,357s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7gVGBGI4ZqvkYBlh2LdrQy
"FUNERAL GREY",Waterparks,"FUNERAL GREY",USAT22203967,spotify,164s,"2022-05-30 00:07",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/29zvr7PRPQhE8plnBZ44nZ
"Fall In Love",Phantogram,Voices,USUM71318566,spotify,223s,"2022-05-09 06:09",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5UKj2UGT4AMc1GMLk5S5sw
"Fallin' With Me","The Struts","Fallin' With Me",QZRD92201933,spotify,162s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5n3It3ROR8In19oJkpXeWt
"Falling Asleep At The Wheel","Holly Humberstone","Falling Asleep At The Wheel",UKW522000002,spotify,203s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5rqQv5jUcg58xsi1nuZDl9
"Fast Talk","Dawn Golden, Houses","Drugstore Heaven",GBKPL1803602,spotify,260s,"2022-05-09 06:09",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5EtH1ayqDJar2PfAw7sC5O
"Favorite Liar","The Wrecks","We Are The Wrecks",TCACM1698474,spotify,242s,"2022-07-14 00:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1scwknKtBQpreYy6MSoJqJ
"Feel Good Inc.",Gorillaz,"Demon Days",GBAYE0500172,spotify,223s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT
"Feel It Still","Portugal. The Man",Woodstock,USAT21700437,spotify,163s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
