title;artist;album;isrc;addedDate;addedBy;duration;url
Toxic;BoyWithUke;Faded;TCAFS2101442;"2021-12-06 23:36";sj1bdpnkh9q3knr3ss718da1d;168s;https://open.spotify.com/track/2kaNmAbqrtOf7Rdr3fnCWl
"Bottle Rocket";"Briston Maroney";Sunflower;USAT22007037;"2021-12-06 23:36";sj1bdpnkh9q3knr3ss718da1d;190s;https://open.spotify.com/track/0ANOK8C8kRTR5AKjW3G62V
"By and By";Caamp;"By and By";USQE91500937;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;281s;https://open.spotify.com/track/75nZ4W6quZhI55LKiqCXWh
"Mess Around";"Cage The Elephant";"Tell Me I'm Pretty";USRC11502822;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;173s;https://open.spotify.com/track/0X0Lz7LwpiIWcdGqVWaxXD
"Back Against the Wall";"Cage The Elephant";"Cage The Elephant (Expanded Edition)";USJI10900295;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;228s;https://open.spotify.com/track/0vz64VTiPPBpcmla0QvAI9
"Shake Me Down";"Cage The Elephant";"Thank You Happy Birthday";USJI11000232;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;211s;https://open.spotify.com/track/1Hb1IJ9bBCa6wo3fRtexnJ
"Social Cues";"Cage The Elephant";"Social Cues";USRC11803824;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;219s;https://open.spotify.com/track/1KuVdyg8d6NlRhbpHxg5UF
"Cold Cold Cold";"Cage The Elephant";"Tell Me I'm Pretty";USRC11502825;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;214s;https://open.spotify.com/track/1Q3t9fWvHUXKsMmpD2XpUu
"Ready To Let Go";"Cage The Elephant";"Ready To Let Go";USRC11803828;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;188s;https://open.spotify.com/track/2QoDAlMnML5haTXvYRS86X
"In One Ear";"Cage The Elephant";"Cage The Elephant (Expanded Edition)";USJI10900291;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;241s;https://open.spotify.com/track/2VRJIIzbhhOGaxAhwCMfZX
"Cigarette Daydreams";"Cage The Elephant";Melophobia;USRC11301169;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;209s;https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
"Ain't No Rest for the Wicked";"Cage The Elephant";"Cage The Elephant (Expanded Edition)";USJI10900260;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;175s;https://open.spotify.com/track/3Pzh926pXggbMe2ZpXyMV7
