title;artist;album;isrc;addedDate;addedBy;duration;url
"Whatever It Takes";"Imagine Dragons";"Whatever It Takes";USUM71703515;"2017-06-04 15:41";friend3001;202s;https://open.spotify.com/track/4izg6Hydc6XGErWW6nbdsV
Thunder;"Imagine Dragons";Evolve;USUM71704167;"2017-06-26 02:47";friend3001;187s;https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
Natural;"Imagine Dragons";"Origins (Deluxe)";USUM71806694;"2018-12-19 19:04";friend3001;189s;https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
"Bad Liar";"Imagine Dragons";"Origins (Deluxe)";USUM71816161;"2019-03-16 18:12";friend3001;261s;https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
Peaches;"In The Valley Below";"The Belt";QMF5G1300001;"2015-02-17 17:36";friend3001;286s;https://open.spotify.com/track/0J5HIOOeThOEPfCQwJ12Sc
"Love Hurts";Incubus;"Monuments And Melodies";USSM10604653;;;237s;https://open.spotify.com/track/7uA2e0U9gU0C6KHvYe99ZH
"Wish You Were Here";Incubus;"Morning View";USSM10107084;"2010-01-22 17:34";friend3001;213s;https://open.spotify.com/track/61qn7uoDsuswZs5p2DkFiP
"Pardon Me";Incubus;"Monuments And Melodies";USSM19911010;"2012-03-27 19:57";;224s;https://open.spotify.com/track/72LuanxtjCFQKgEvVZ0y6e
Adolescents;Incubus;"If Not Now, When?";USSM11102208;"2012-03-31 17:21";;289s;https://open.spotify.com/track/7CBD8biut3IwSJDfhKHLoH
"Promises, Promises";Incubus;"If Not Now, When?";USSM11102200;"2012-03-31 17:23";;266s;https://open.spotify.com/track/0534jmQ0dYChW5MSzYXNVr
Drive;Incubus;"Monuments And Melodies";USSM19911007;"2012-05-03 00:40";;233s;https://open.spotify.com/track/4IyDlKobNAzDkl6USG7rO2
"Anna Molly";Incubus;"Light Grenades";USSM10604652;"2012-05-12 17:59";;226s;https://open.spotify.com/track/0uLhNT7UIH3nZCCDZd3OBl
Megalomaniac;Incubus;"A Crow Left Of The Murder";USSM10314400;"2012-05-20 22:14";;295s;https://open.spotify.com/track/143sZgySA70Q8lzZp8wxsG
"Absolution Calling";Incubus;"Absolution Calling";USUM71500724;"2015-02-17 17:36";friend3001;278s;https://open.spotify.com/track/5kiYaQaYacPeuJTYceHqvm
"Nimble Bastard";Incubus;"Nimble Bastard";USUM71701076;"2017-03-17 00:24";friend3001;221s;https://open.spotify.com/track/1p5aKetFO3dctfQpeEVyMj
"Nimble Bastard - New Mix";Incubus;"Nimble Bastard";USUG11700301;"2017-04-11 18:12";friend3001;220s;https://open.spotify.com/track/1IYiT21puF3KvqrcS3t6xx
"State Of The Art";Incubus;8;USUG11700292;"2017-06-04 15:45";friend3001;227s;https://open.spotify.com/track/3OKivoHOvSP3aHECUM6YaL
"Into The Summer";Incubus;"Into The Summer";US39N1978501;"2019-10-15 15:36";friend3001;258s;https://open.spotify.com/track/105XI7vzHuwEmT8sILj9q5
"All the Rage Back Home";Interpol;"El Pintor";USMTD1404915;"2014-10-06 17:55";friend3001;262s;https://open.spotify.com/track/1EyRK6kk3yW8ZmtqAPLZKJ
"Press Play";Iration;Iration;USME31800224;"2018-08-07 22:45";friend3001;251s;https://open.spotify.com/track/2apcvV1wmzHJYRKiQuMk3K
"Sixteen Saltines";"Jack White";Blunderbuss;USSM11200353;"2012-05-28 18:06";;157s;https://open.spotify.com/track/2GmMkODuUWlFZn87jdjbEy
"Freedom at 21";"Jack White";Blunderbuss;USSM11200652;"2013-01-12 17:41";friend3001;172s;https://open.spotify.com/track/1gC2ac1OuetbDVygbEIXM7
Lazaretto;"Jack White";Lazaretto;US3JJ1400638;"2014-04-30 21:30";friend3001;219s;https://open.spotify.com/track/0GyD0STqshPdWdkXV3B8nT
"Connected by Love";"Jack White";"Connected by Love";USSM11710996;"2018-01-19 21:50";friend3001;278s;https://open.spotify.com/track/448ToEDvmGqfBt8jVimqJy
"Over and Over and Over";"Jack White";"Boarding House Reach";USSM11711240;"2018-03-25 18:46";friend3001;216s;https://open.spotify.com/track/5p5DfHXJYj05yhRG0qPKQq
"Hold Back The River";"James Bay";"Hold Back The River";USUM71413733;"2015-04-18 17:44";friend3001;240s;https://open.spotify.com/track/1WqjYWH4BbGRLoVxQU3XS1
"Been Caught Stealing";"Jane's Addiction";"Ritual De Lo Habitual";USWB10902573;"2012-03-27 21:06";;213s;https://open.spotify.com/track/51Gkc1TxvyQ9K8y0pQRmQM
"Jane Says";"Jane's Addiction";"Nothing's Shocking";USWB18800016;"2016-04-03 00:24";friend3001;287s;https://open.spotify.com/track/7c1Dar0pIAW7w5TzaGjt9t
"Right Here Right Now";"Jesus Jones";Doubt;GBAYE9000326;"2012-05-29 22:10";;189s;https://open.spotify.com/track/3fcGGP62sllcNEhuFJVYeC
"Cold Hard Bitch";Jet;"Get Born";USEE10340568;"2012-06-25 18:38";;243s;https://open.spotify.com/track/5u6fnmRO5V0PTl5M2Eekeu
"The Middle";"Jimmy Eat World";"Jimmy Eat World";USDW10110256;;;166s;https://open.spotify.com/track/2D7tauy2bntJnJQ2C4rO4x
Sweetness;"Jimmy Eat World";"Bleed American (Deluxe Edition)";USDW10110258;"2012-05-20 22:14";;221s;https://open.spotify.com/track/0YQfhg5OhBajiuMbtQFxPs
"I Will Steal You Back";"Jimmy Eat World";Damage;USRC11300369;"2013-06-12 18:02";friend3001;209s;https://open.spotify.com/track/32Cimaqis8qkGRMACGsOkh
Pain;"Jimmy Eat World";Futures;USDW10400944;"2014-02-12 19:03";friend3001;181s;https://open.spotify.com/track/4uicwrISUGoQwZr3dRR9m6
"Sure and Certain";"Jimmy Eat World";"Sure and Certain";USRC11601338;"2016-10-09 18:32";friend3001;216s;https://open.spotify.com/track/0LIuCaB4eoxSkzA5ZcUyZI
"Love Never";"Jimmy Eat World";Surviving;USRC11901705;"2019-11-23 17:55";friend3001;174s;https://open.spotify.com/track/5LpM2hZ4zZYbf99NVtzcjb
Run;Joji;Run;ZZOPM1901777;"2020-03-13 13:50";friend3001;195s;https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
